TimeDelta,Length,Port,Protocol,Length,Info
0.000149,109,5900,TCP,109,40178  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.001393,109,143,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000161,109,5900,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00029,109,1723,TCP,109,40178  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,3389,TCP,109,40178  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000224,109,995,TCP,109,40178  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,9877,TCP,109,40178  >  9877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000291,109,1723,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,3389,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,995,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,9877,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  9877 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000229,109,57294,TCP,109,40178  >  57294 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000267,109,6001,TCP,109,40178  >  6001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,57294,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  57294 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000151,109,6001,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  6001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000235,109,144,TCP,109,40178  >  144 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,3324,TCP,109,40178  >  3324 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000312,109,1152,TCP,109,40178  >  1152 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000158,109,144,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  144 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00016,109,3324,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3324 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,1152,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  1152 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000149,103,40178,TCP,103,"5900  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000242,103,40178,TCP,103,"1723  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000232,103,40178,TCP,103,"3389  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000379,103,40178,TCP,103,"995  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
