TimeDelta,Length,Port,Attack
0.000149000,103,40178,1
0.000142000,103,40178,1
0.000150000,103,40178,1
0.000144000,103,40178,1
0.000146000,103,40178,1
0.000145000,103,40178,1
0.000223000,109,1187,1
0.000148000,109,2100,1
0.000290000,109,2100,1
0.000220000,109,5550,1
0.000143000,109,6881,1
0.000149000,109,13456,1
0.000143000,109,5550,1
0.000145000,109,6881,1
0.000148000,109,13456,1
0.000235000,109,11110,1
0.000167000,109,5544,1
0.000159000,109,3030,1
0.000154000,109,11110,1
0.000151000,109,5544,1
0.000153000,109,3030,1
0.000235000,109,52673,1
0.000149000,109,2170,1
0.000148000,109,1061,1
0.000146000,109,52673,1
0.000348000,109,2170,1
0.000151000,109,1061,1
0.000217000,103,40178,1
0.000222000,103,40178,1
0.000224000,103,40178,1
0.000283000,103,40178,1
0.000228000,103,40178,1
0.000226000,103,40178,1
0.000227000,103,40178,1
0.000231000,103,40178,1
0.000217000,103,40178,1
0.000229000,103,40178,1
0.000226000,103,40178,1
0.000148000,103,40178,1
0.000152000,103,40178,1
0.000149000,103,40178,1
0.000153000,103,40178,1
0.000155000,103,40178,1
0.000147000,103,40178,1
0.000154000,103,40178,1
0.000149000,103,40178,1
0.000151000,103,40178,1
0.000149000,103,40178,1
0.000149000,103,40178,1
0.000345000,109,88,1
0.000144000,109,8031,1
0.000144000,109,999,1
0.000143000,109,88,1
0.000145000,109,8031,1
0.000144000,109,999,1
0.000217000,109,211,1
0.000146000,109,3690,1
0.000220000,109,56737,1
0.000143000,109,1046,1
0.000145000,109,8084,1
0.000146000,109,2005,1
0.000367000,103,40178,1
0.000157000,103,40178,1
0.000236000,103,40178,1
0.000157000,109,1085,1
0.000153000,109,211,1
0.000152000,109,3690,1
0.000152000,109,56737,1
0.000144000,109,1046,1
0.000148000,109,8084,1
0.000144000,109,2005,1
0.000149000,103,40178,1
0.000146000,109,1085,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000225000,109,58080,1
0.000149000,103,40178,1
0.000161000,109,58080,1
0.000147000,103,40178,1
0.000227000,109,990,1
0.000157000,109,3880,1
0.000153000,109,990,1
0.000155000,109,3880,1
0.000224000,109,9102,1
0.000217000,103,40178,1
0.000240000,103,40178,1
0.000237000,103,40178,1
0.000229000,103,40178,1
0.000230000,103,40178,1
0.000218000,103,40178,1
0.000222000,103,40178,1
0.000223000,103,40178,1
0.000222000,103,40178,1
0.000146000,109,9102,1
0.000149000,103,40178,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000139000,103,40178,1
0.000147000,103,40178,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000146000,103,40178,1
0.000213000,109,3689,1
0.000140000,109,777,1
0.000141000,109,3689,1
0.000151000,109,777,1
0.000212000,103,40178,1
0.000366000,109,8899,1
0.000146000,109,8899,1
0.000144000,103,40178,1
0.000218000,109,1217,1
0.000144000,103,40178,1
0.000218000,103,40178,1
0.000144000,103,40178,1
0.000145000,109,1217,1
0.000145000,103,40178,1
0.000073000,103,40178,1
0.000145000,103,40178,1
0.000144000,103,40178,1
0.000217000,103,40178,1
0.000146000,109,4005,1
0.000143000,103,40178,1
0.000145000,109,4005,1
0.000217000,109,4005,1
0.000145000,109,464,1
0.000144000,103,40178,1
0.000145000,103,40178,1
0.000073000,109,464,1
0.000145000,109,464,1
0.000145000,109,464,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000072000,103,40178,1
0.000150000,103,40178,1
0.000074000,103,40178,1
0.000223000,103,40178,1
0.000151000,103,40178,1
0.000163000,109,464,1
0.000152000,103,40178,1
0.000722000,109,4003,1
0.000075000,109,4003,1
0.000073000,109,4003,1
0.000073000,109,4003,1
0.000115000,109,4003,1
0.000949000,109,4003,1
0.001382000,109,4003,1
0.003210000,109,4003,1
0.000185000,109,10082,1
0.000222000,109,4003,1
0.000148000,109,10082,1
0.000264000,109,10082,1
0.000147000,109,3527,1
0.000197000,103,40178,1
0.000220000,103,40178,1
0.000195000,109,3527,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000217000,109,57797,1
