TimeDelta,Length,Port,Attack
0.030911000,115,36646,0
0.000126000,115,36646,0
0.000737000,115,36646,0
0.000189000,115,36646,0
0.000151000,115,36646,0
0.000147000,115,36646,0
0.000288000,115,36646,0
0.000559000,115,36646,0
0.086073000,1401,443,0
0.033198000,115,36646,0
0.110878000,1483,443,0
0.000791000,1483,443,0
0.008240000,169,36646,0
0.000872000,1483,443,0
0.000186000,1483,443,0
0.000366000,262,443,0
0.000236000,1483,443,0
0.000238000,205,443,0
0.032356000,115,36646,0
0.000191000,115,36646,0
0.000229000,115,36646,0
0.000222000,115,443,0
0.068924000,1483,443,0
0.000975000,1483,443,0
0.003708000,1483,443,0
0.000129000,1483,443,0
0.001459000,1483,443,0
0.023381000,1483,443,0
0.012983000,1483,443,0
0.000132000,1483,443,0
0.000187000,262,443,0
0.000334000,1206,443,0
0.024097000,115,36646,0
0.009420000,115,36646,0
0.050094000,206,36646,0
0.000195000,168,36646,0
0.000276000,115,443,0
0.000321000,115,443,0
0.006634000,204,36646,0
0.000187000,166,36646,0
0.000478000,1483,443,0
